Region,Country,ISO-3,Name in Original Language,Name in English Language,Acronym,Establishment Year,Official Mandate,Levels of Ownership,Financial Year,Total Assets(Million USD),Total Equity(Million USD),Total Liabilities(Million USD),Website link,Projects link
World,Multi,MB,The World Bank,The World Bank,World Bank,1944,FLEX,MULTI,2023,"560,123",TBR,TBR,https://www.worldbank.org/ext/en/who-we-are,https://projects.worldbank.org/en/projects-operations/projects-list?countrycode_exact=BR&title=Brazil&os=0
World,Multi,MB,Multilateral Investment Guarantee Agency - World Bank Group,Multilateral Investment Guarantee Agency - World Bank Group,MIGA,1988,FLEX,MULTI,2023,"3,269",TBR,TBR,https://www.miga.org/about-us,https://www.miga.org/projects?host_country%5B%5D=341&project_status=All&env_category=All&project_type=All&board_date%5Bmin%5D=&board_date%5Bmax%5D=&covid_19=All&title=&project_id=
World,Multi,MB,International Finance Corporation,International Finance Corporation-World Bank Group,IFC,1956,INTL,MULTI,2023,"110,547",TBR,TBR,https://www.ifc.org/en/about,https://www.ifc.org/en/pressroom/2025/ifc-idb-invest-forge-partnership-with-itau-to-first-sustainability-and-social-bond
America,Multi,MB,Inter-American Development Bank,Inter-American Development Bank,IADB,1959,FLEX,MULTI,2023,"152,019",TBR,TBR,https://www.iadb.org/en/who-we-are/about-idb,https://www.iadb.org/en/project-search
South America,Multi,MB,Banco de Desarrollo de América Latina,Development Bank of Latin America,CAF,1970,FLEX,MULTI,2023,"53,814",TBR,TBR,https://www.caf.com/pt/quem-somos/,https://www.caf.com/pt/paises/brasil/
World,Multi,MB,New Development Bank,New Development Bank,NDB BRICS,2014,FLEX,MULTI,2023,"28,840",TBR,TBR,https://www.ndb.int/about-ndb/,https://www.ndb.int/projects/all-projects/?country=brazil&key_area_focus=&project_status=&type_category=&pyearval=#paginated-list
Central America,Multi,MB,Banco Centroamericano de Integración Económica,Central American Bank for Economic Integration,CABEI,1960,FLEX,MULTI,2023,"17,186",TBR,TBR,https://60aniversario.bcie.org/#c3013,https://adquisiciones.bcie.org/planes-de-adquisiciones
World,Multi,MB,International Fund for Agricultural Development,International Fund for Agricultural Development,IFAD,1977,AGRI,MULTI,2023,"11,724",TBR,TBR,https://www.ifad.org/en/our-vision,https://www.ifad.org/en/web/new-ifad.org/w/countries/brazil
America,Multi,MB,IDB Invest,IDB Invest,IDBInvest,1986,INTL,MULTI,2023,"11,328",TBR,TBR,https://idbinvest.org/en/about-us,https://idbinvest.org/en/projects
South America,Multi,MB,Banco Latinoamericano de Comercio Exterior,Latin American Bank for Foreign Trade,BLADEX,1979,EXIM,MULTI,2023,"10,744",TBR,TBR,https://bladex.com/en,https://bladex.com/sites/default/files/2025-05/Unaudited%20condensed%20consolidated%20interim%20financial%20statements%20as%20of%20Mar%2031%2C%202025_1.pdf
South America,Multi,MB,Fondo Financiero para el Desarrollo de la Cuenca del Plata,Financial Fund for the Development of the Plata Basin,FONPLATA,1974,INTL,MULTI,2023,"2,640",TBR,TBR,https://www.fonplata.org/en/institutional/mission-and-vision,https://www.fonplata.org/en/institutional/annual-reports
Caribbean,Multi,MB,Caribbean Development Bank,Caribbean Development Bank,CDB,1969,FLEX,MULTI,2023,"2,032",TBR,TBR,https://www.caribank.org/,https://www.caribank.org/
Caribbean,Multi,MB,Eastern Caribbean Partial Credit Guarantee Corporation,Eastern Caribbean Partial Credit Guarantee Corporation,ECPCGC,2017,MSME,MULTI,2023,TBR,TBR,TBR,https://www.eccb-centralbank.org/roles-and-functions,https://www.eccb-centralbank.org/statistics
Latin America and the Caribbean,Multi,MB,Banco del Alba,Bank of Alba,BANALBA,2008,FLEX,MULTI,2023,TBR,TBR,TBR,https://bancodelalba.org/en/know-the-bank-of-alba,Nil
World,Multi,MB,The World Bank,The World Bank,World Bank,1944,FLEX,MULTI,2022,"537,556",TBR,TBR,https://www.worldbank.org/ext/en/who-we-are,https://projects.worldbank.org/en/projects-operations/projects-list?countrycode_exact=BR&title=Brazil&os=0
World,Multi,MB,Multilateral Investment Guarantee Agency - World Bank Group,Multilateral Investment Guarantee Agency - World Bank Group,MIGA,1988,FLEX,MULTI,2022,"3,024",TBR,TBR,https://www.miga.org/about-us,https://www.miga.org/projects?host_country%5B%5D=341&project_status=All&env_category=All&project_type=All&board_date%5Bmin%5D=&board_date%5Bmax%5D=&covid_19=All&title=&project_id=
World,Multi,MB,International Finance Corporation,International Finance Corporation-World Bank Group,IFC,1956,INTL,MULTI,2022,"99,010",TBR,TBR,https://www.ifc.org/en/about,https://www.ifc.org/en/pressroom/2025/ifc-idb-invest-forge-partnership-with-itau-to-first-sustainability-and-social-bond
America,Multi,MB,Inter-American Development Bank,Inter-American Development Bank,IADB,1959,FLEX,MULTI,2022,"148,026",TBR,TBR,https://www.iadb.org/en/who-we-are/about-idb,https://www.iadb.org/en/project-search
South America,Multi,MB,Banco de Desarrollo de América Latina,Development Bank of Latin America,CAF,1970,FLEX,MULTI,2022,"50,377",TBR,TBR,https://www.caf.com/pt/quem-somos/,https://www.caf.com/pt/paises/brasil/
World,Multi,MB,New Development Bank,New Development Bank,NDB BRICS,2014,FLEX,MULTI,2022,"26,351",TBR,TBR,https://www.ndb.int/about-ndb/,https://www.ndb.int/projects/all-projects/?country=brazil&key_area_focus=&project_status=&type_category=&pyearval=#paginated-list
Central America,Multi,MB,Banco Centroamericano de Integración Económica,Central American Bank for Economic Integration,CABEI,1960,FLEX,MULTI,2022,"14,802",TBR,TBR,https://60aniversario.bcie.org/#c3013,https://adquisiciones.bcie.org/planes-de-adquisiciones
World,Multi,MB,International Fund for Agricultural Development,International Fund for Agricultural Development,IFAD,1977,AGRI,MULTI,2022,"11,206",TBR,TBR,https://www.ifad.org/en/our-vision,https://www.ifad.org/en/web/new-ifad.org/w/countries/brazil
America,Multi,MB,IDB Invest,IDB Invest,IDBInvest,1986,INTL,MULTI,2022,"9,401",TBR,TBR,https://idbinvest.org/en/about-us,https://idbinvest.org/en/projects
South America,Multi,MB,Banco Latinoamericano de Comercio Exterior,Latin American Bank for Foreign Trade,BLADEX,1979,EXIM,MULTI,2022,"9,284",TBR,TBR,https://bladex.com/en,https://bladex.com/sites/default/files/2025-05/Unaudited%20condensed%20consolidated%20interim%20financial%20statements%20as%20of%20Mar%2031%2C%202025_1.pdf
South America,Multi,MB,Fondo Financiero para el Desarrollo de la Cuenca del Plata,Financial Fund for the Development of the Plata Basin,FONPLATA,1974,INTL,MULTI,2022,"2,337",TBR,TBR,https://www.fonplata.org/en/institutional/mission-and-vision,https://www.fonplata.org/en/institutional/annual-reports
Caribbean,Multi,MB,Caribbean Development Bank,Caribbean Development Bank,CDB,1969,FLEX,MULTI,2022,"2,066",TBR,TBR,https://www.caribank.org/,https://www.caribank.org/
Caribbean,Multi,MB,Eastern Caribbean Partial Credit Guarantee Corporation,Eastern Caribbean Partial Credit Guarantee Corporation,ECPCGC,2017,MSME,MULTI,2022,TBR,TBR,TBR,https://www.eccb-centralbank.org/roles-and-functions,https://www.eccb-centralbank.org/statistics
Latin America and the Caribbean,Multi,MB,Banco del Alba,Bank of Alba,BANALBA,2008,FLEX,MULTI,2022,TBR,TBR,TBR,https://bancodelalba.org/en/know-the-bank-of-alba,Nil
World,Multi,MB,The World Bank,The World Bank,World Bank,1944,FLEX,MULTI,2021,"536,625",TBR,TBR,https://www.worldbank.org/ext/en/who-we-are,https://projects.worldbank.org/en/projects-operations/projects-list?countrycode_exact=BR&title=Brazil&os=0
World,Multi,MB,Multilateral Investment Guarantee Agency - World Bank Group,Multilateral Investment Guarantee Agency - World Bank Group,MIGA,1988,FLEX,MULTI,2021,"2,948",TBR,TBR,https://www.miga.org/about-us,https://www.miga.org/projects?host_country%5B%5D=341&project_status=All&env_category=All&project_type=All&board_date%5Bmin%5D=&board_date%5Bmax%5D=&covid_19=All&title=&project_id=
World,Multi,MB,International Finance Corporation,International Finance Corporation-World Bank Group,IFC,1956,INTL,MULTI,2021,"105,264",TBR,TBR,https://www.ifc.org/en/about,https://www.ifc.org/en/pressroom/2025/ifc-idb-invest-forge-partnership-with-itau-to-first-sustainability-and-social-bond
America,Multi,MB,Inter-American Development Bank,Inter-American Development Bank,IADB,1959,FLEX,MULTI,2021,"151,752",TBR,TBR,https://www.iadb.org/en/who-we-are/about-idb,https://www.iadb.org/en/project-search
South America,Multi,MB,Banco de Desarrollo de América Latina,Development Bank of Latin America,CAF,1970,FLEX,MULTI,2021,"47,592",TBR,TBR,https://www.caf.com/pt/quem-somos/,https://www.caf.com/pt/paises/brasil/
World,Multi,MB,New Development Bank,New Development Bank,NDB BRICS,2014,FLEX,MULTI,2021,"24,888",TBR,TBR,https://www.ndb.int/about-ndb/,https://www.ndb.int/projects/all-projects/?country=brazil&key_area_focus=&project_status=&type_category=&pyearval=#paginated-list
Central America,Multi,MB,Banco Centroamericano de Integración Económica,Central American Bank for Economic Integration,CABEI,1960,FLEX,MULTI,2021,"13,955",TBR,TBR,https://60aniversario.bcie.org/#c3013,https://adquisiciones.bcie.org/planes-de-adquisiciones
World,Multi,MB,International Fund for Agricultural Development,International Fund for Agricultural Development,IFAD,1977,AGRI,MULTI,2021,"11,582",TBR,TBR,https://www.ifad.org/en/our-vision,https://www.ifad.org/en/web/new-ifad.org/w/countries/brazil
America,Multi,MB,IDB Invest,IDB Invest,IDBInvest,1986,INTL,MULTI,2021,"7,551",TBR,TBR,https://idbinvest.org/en/about-us,https://idbinvest.org/en/projects
South America,Multi,MB,Banco Latinoamericano de Comercio Exterior,Latin American Bank for Foreign Trade,BLADEX,1979,EXIM,MULTI,2021,"8,038",TBR,TBR,https://bladex.com/en,https://bladex.com/sites/default/files/2025-05/Unaudited%20condensed%20consolidated%20interim%20financial%20statements%20as%20of%20Mar%2031%2C%202025_1.pdf
South America,Multi,MB,Fondo Financiero para el Desarrollo de la Cuenca del Plata,Financial Fund for the Development of the Plata Basin,FONPLATA,1974,INTL,MULTI,2021,"2,157",TBR,TBR,https://www.fonplata.org/en/institutional/mission-and-vision,https://www.fonplata.org/en/institutional/annual-reports
Caribbean,Multi,MB,Caribbean Development Bank,Caribbean Development Bank,CDB,1969,FLEX,MULTI,2021,"2,221",TBR,TBR,https://www.caribank.org/,https://www.caribank.org/
Caribbean,Multi,MB,Eastern Caribbean Partial Credit Guarantee Corporation,Eastern Caribbean Partial Credit Guarantee Corporation,ECPCGC,2017,MSME,MULTI,2021,TBR,TBR,TBR,https://www.eccb-centralbank.org/roles-and-functions,https://www.eccb-centralbank.org/statistics
Latin America and the Caribbean,Multi,MB,Banco del Alba,Bank of Alba,BANALBA,2008,FLEX,MULTI,2021,TBR,TBR,TBR,https://bancodelalba.org/en/know-the-bank-of-alba,Nil
World,Multi,MB,The World Bank,The World Bank,World Bank,1944,FLEX,MULTI,2020,"496,276",TBR,TBR,https://www.worldbank.org/ext/en/who-we-are,https://projects.worldbank.org/en/projects-operations/projects-list?countrycode_exact=BR&title=Brazil&os=0
World,Multi,MB,Multilateral Investment Guarantee Agency - World Bank Group,Multilateral Investment Guarantee Agency - World Bank Group,MIGA,1988,FLEX,MULTI,2020,"2,990",TBR,TBR,https://www.miga.org/about-us,https://www.miga.org/projects?host_country%5B%5D=341&project_status=All&env_category=All&project_type=All&board_date%5Bmin%5D=&board_date%5Bmax%5D=&covid_19=All&title=&project_id=
World,Multi,MB,International Finance Corporation,International Finance Corporation-World Bank Group,IFC,1956,INTL,MULTI,2020,"95,800",TBR,TBR,https://www.ifc.org/en/about,https://www.ifc.org/en/pressroom/2025/ifc-idb-invest-forge-partnership-with-itau-to-first-sustainability-and-social-bond
America,Multi,MB,Inter-American Development Bank,Inter-American Development Bank,IADB,1959,FLEX,MULTI,2020,"147,533",TBR,TBR,https://www.iadb.org/en/who-we-are/about-idb,https://www.iadb.org/en/project-search
South America,Multi,MB,Banco de Desarrollo de América Latina,Development Bank of Latin America,CAF,1970,FLEX,MULTI,2020,"46,846",TBR,TBR,https://www.caf.com/pt/quem-somos/,https://www.caf.com/pt/paises/brasil/
World,Multi,MB,New Development Bank,New Development Bank,NDB BRICS,2014,FLEX,MULTI,2020,"18,844",TBR,TBR,https://www.ndb.int/about-ndb/,https://www.ndb.int/projects/all-projects/?country=brazil&key_area_focus=&project_status=&type_category=&pyearval=#paginated-list
Central America,Multi,MB,Banco Centroamericano de Integración Económica,Central American Bank for Economic Integration,CABEI,1960,FLEX,MULTI,2020,"13,295",TBR,TBR,https://60aniversario.bcie.org/#c3013,https://adquisiciones.bcie.org/planes-de-adquisiciones
World,Multi,MB,International Fund for Agricultural Development,International Fund for Agricultural Development,IFAD,1977,AGRI,MULTI,2020,"9,550",TBR,TBR,https://www.ifad.org/en/our-vision,https://www.ifad.org/en/web/new-ifad.org/w/countries/brazil
America,Multi,MB,IDB Invest,IDB Invest,IDBInvest,1986,INTL,MULTI,2020,"6,424",TBR,TBR,https://idbinvest.org/en/about-us,https://idbinvest.org/en/projects
South America,Multi,MB,Banco Latinoamericano de Comercio Exterior,Latin American Bank for Foreign Trade,BLADEX,1979,EXIM,MULTI,2020,"6,289",TBR,TBR,https://bladex.com/en,https://bladex.com/sites/default/files/2025-05/Unaudited%20condensed%20consolidated%20interim%20financial%20statements%20as%20of%20Mar%2031%2C%202025_1.pdf
South America,Multi,MB,Fondo Financiero para el Desarrollo de la Cuenca del Plata,Financial Fund for the Development of the Plata Basin,FONPLATA,1974,INTL,MULTI,2020,"1,695",TBR,TBR,https://www.fonplata.org/en/institutional/mission-and-vision,https://www.fonplata.org/en/institutional/annual-reports
Caribbean,Multi,MB,Caribbean Development Bank,Caribbean Development Bank,CDB,1969,FLEX,MULTI,2020,"2,121",TBR,TBR,https://www.caribank.org/,https://www.caribank.org/
Caribbean,Multi,MB,Eastern Caribbean Partial Credit Guarantee Corporation,Eastern Caribbean Partial Credit Guarantee Corporation,ECPCGC,2017,MSME,MULTI,2020,10,TBR,TBR,https://www.eccb-centralbank.org/roles-and-functions,https://www.eccb-centralbank.org/statistics
Latin America and the Caribbean,Multi,MB,Banco del Alba,Bank of Alba,BANALBA,2008,FLEX,MULTI,2020,TBR,TBR,TBR,https://bancodelalba.org/en/know-the-bank-of-alba,Nil
World,Multi,MB,The World Bank,The World Bank,World Bank,1944,FLEX,MULTI,2019,"471,584",TBR,TBR,https://www.worldbank.org/ext/en/who-we-are,https://projects.worldbank.org/en/projects-operations/projects-list?countrycode_exact=BR&title=Brazil&os=0
World,Multi,MB,Multilateral Investment Guarantee Agency - World Bank Group,Multilateral Investment Guarantee Agency - World Bank Group,MIGA,1988,FLEX,MULTI,2019,"2,420",TBR,TBR,https://www.miga.org/about-us,https://www.miga.org/projects?host_country%5B%5D=341&project_status=All&env_category=All&project_type=All&board_date%5Bmin%5D=&board_date%5Bmax%5D=&covid_19=All&title=&project_id=
World,Multi,MB,International Finance Corporation,International Finance Corporation-World Bank Group,IFC,1956,INTL,MULTI,2019,"99,257",TBR,TBR,https://www.ifc.org/en/about,https://www.ifc.org/en/pressroom/2025/ifc-idb-invest-forge-partnership-with-itau-to-first-sustainability-and-social-bond
America,Multi,MB,Inter-American Development Bank,Inter-American Development Bank,IADB,1959,FLEX,MULTI,2019,"136,358",TBR,TBR,https://www.iadb.org/en/who-we-are/about-idb,https://www.iadb.org/en/project-search
South America,Multi,MB,Banco de Desarrollo de América Latina,Development Bank of Latin America,CAF,1970,FLEX,MULTI,2019,"42,294",TBR,TBR,https://www.caf.com/pt/quem-somos/,https://www.caf.com/pt/paises/brasil/
World,Multi,MB,New Development Bank,New Development Bank,NDB BRICS,2014,FLEX,MULTI,2019,"11,821",TBR,TBR,https://www.ndb.int/about-ndb/,https://www.ndb.int/projects/all-projects/?country=brazil&key_area_focus=&project_status=&type_category=&pyearval=#paginated-list
Central America,Multi,MB,Banco Centroamericano de Integración Económica,Central American Bank for Economic Integration,CABEI,1960,FLEX,MULTI,2019,"11,611",TBR,TBR,https://60aniversario.bcie.org/#c3013,https://adquisiciones.bcie.org/planes-de-adquisiciones
World,Multi,MB,International Fund for Agricultural Development,International Fund for Agricultural Development,IFAD,1977,AGRI,MULTI,2019,"9,047",TBR,TBR,https://www.ifad.org/en/our-vision,https://www.ifad.org/en/web/new-ifad.org/w/countries/brazil
America,Multi,MB,IDB Invest,IDB Invest,IDBInvest,1986,INTL,MULTI,2019,"3,900",TBR,TBR,https://idbinvest.org/en/about-us,https://idbinvest.org/en/projects
South America,Multi,MB,Banco Latinoamericano de Comercio Exterior,Latin American Bank for Foreign Trade,BLADEX,1979,EXIM,MULTI,2019,"7,250",TBR,TBR,https://bladex.com/en,https://bladex.com/sites/default/files/2025-05/Unaudited%20condensed%20consolidated%20interim%20financial%20statements%20as%20of%20Mar%2031%2C%202025_1.pdf
South America,Multi,MB,Fondo Financiero para el Desarrollo de la Cuenca del Plata,Financial Fund for the Development of the Plata Basin,FONPLATA,1974,INTL,MULTI,2019,"1,308",TBR,TBR,https://www.fonplata.org/en/institutional/mission-and-vision,https://www.fonplata.org/en/institutional/annual-reports
Caribbean,Multi,MB,Caribbean Development Bank,Caribbean Development Bank,CDB,1969,FLEX,MULTI,2019,"2,096",TBR,TBR,https://www.caribank.org/,https://www.caribank.org/
Caribbean,Multi,MB,Eastern Caribbean Partial Credit Guarantee Corporation,Eastern Caribbean Partial Credit Guarantee Corporation,ECPCGC,2017,MSME,MULTI,2019,TBR,TBR,TBR,https://www.eccb-centralbank.org/roles-and-functions,https://www.eccb-centralbank.org/statistics
Latin America and the Caribbean,Multi,MB,Banco del Alba,Bank of Alba,BANALBA,2008,FLEX,MULTI,2019,TBR,TBR,TBR,https://bancodelalba.org/en/know-the-bank-of-alba,Nil
World,Multi,MB,The World Bank,The World Bank,World Bank,1944,FLEX,MULTI,2018,"448,466",TBR,TBR,https://www.worldbank.org/ext/en/who-we-are,https://projects.worldbank.org/en/projects-operations/projects-list?countrycode_exact=BR&title=Brazil&os=0
World,Multi,MB,Multilateral Investment Guarantee Agency - World Bank Group,Multilateral Investment Guarantee Agency - World Bank Group,MIGA,1988,FLEX,MULTI,2018,"2,213",TBR,TBR,https://www.miga.org/about-us,https://www.miga.org/projects?host_country%5B%5D=341&project_status=All&env_category=All&project_type=All&board_date%5Bmin%5D=&board_date%5Bmax%5D=&covid_19=All&title=&project_id=
World,Multi,MB,International Finance Corporation,International Finance Corporation-World Bank Group,IFC,1956,INTL,MULTI,2018,"94,272",TBR,TBR,https://www.ifc.org/en/about,https://www.ifc.org/en/pressroom/2025/ifc-idb-invest-forge-partnership-with-itau-to-first-sustainability-and-social-bond
America,Multi,MB,Inter-American Development Bank,Inter-American Development Bank,IADB,1959,FLEX,MULTI,2018,"129,459",TBR,TBR,https://www.iadb.org/en/who-we-are/about-idb,https://www.iadb.org/en/project-search
South America,Multi,MB,Banco de Desarrollo de América Latina,Development Bank of Latin America,CAF,1970,FLEX,MULTI,2018,"40,014",TBR,TBR,https://www.caf.com/pt/quem-somos/,https://www.caf.com/pt/paises/brasil/
World,Multi,MB,New Development Bank,New Development Bank,NDB BRICS,2014,FLEX,MULTI,2018,"10,402",TBR,TBR,https://www.ndb.int/about-ndb/,https://www.ndb.int/projects/all-projects/?country=brazil&key_area_focus=&project_status=&type_category=&pyearval=#paginated-list
Central America,Multi,MB,Banco Centroamericano de Integración Económica,Central American Bank for Economic Integration,CABEI,1960,FLEX,MULTI,2018,"10,850",TBR,TBR,https://60aniversario.bcie.org/#c3013,https://adquisiciones.bcie.org/planes-de-adquisiciones
World,Multi,MB,International Fund for Agricultural Development,International Fund for Agricultural Development,IFAD,1977,AGRI,MULTI,2018,"8,985",TBR,TBR,https://www.ifad.org/en/our-vision,https://www.ifad.org/en/web/new-ifad.org/w/countries/brazil
America,Multi,MB,IDB Invest,IDB Invest,IDBInvest,1986,INTL,MULTI,2018,"3,209",TBR,TBR,https://idbinvest.org/en/about-us,https://idbinvest.org/en/projects
South America,Multi,MB,Banco Latinoamericano de Comercio Exterior,Latin American Bank for Foreign Trade,BLADEX,1979,EXIM,MULTI,2018,"7,609",TBR,TBR,https://bladex.com/en,https://bladex.com/sites/default/files/2025-05/Unaudited%20condensed%20consolidated%20interim%20financial%20statements%20as%20of%20Mar%2031%2C%202025_1.pdf
South America,Multi,MB,Fondo Financiero para el Desarrollo de la Cuenca del Plata,Financial Fund for the Development of the Plata Basin,FONPLATA,1974,INTL,MULTI,2018,"1,043",TBR,TBR,https://www.fonplata.org/en/institutional/mission-and-vision,https://www.fonplata.org/en/institutional/annual-reports
Caribbean,Multi,MB,Caribbean Development Bank,Caribbean Development Bank,CDB,1969,FLEX,MULTI,2018,"1,748",TBR,TBR,https://www.caribank.org/,https://www.caribank.org/
Caribbean,Multi,MB,Eastern Caribbean Partial Credit Guarantee Corporation,Eastern Caribbean Partial Credit Guarantee Corporation,ECPCGC,2017,MSME,MULTI,2018,TBR,TBR,TBR,https://www.eccb-centralbank.org/roles-and-functions,https://www.eccb-centralbank.org/statistics
Latin America and the Caribbean,Multi,MB,Banco del Alba,Bank of Alba,BANALBA,2008,FLEX,MULTI,2018,TBR,TBR,TBR,https://bancodelalba.org/en/know-the-bank-of-alba,Nil
